id	name	industries	founded_date	num_employees	website	about
endava	Endava	Information Technology, Outsourcing, Software	2000-12-06	10001+	http://www.endava.com	Endava is a software development outsourcing company that creates dynamic platforms and intelligent digital experiences for businesses.
spotev	SpotEv	Natural Language Processing, Performing Arts, SaaS, Tourism	2016-03-24	1-10	https://www.spotev.com	.. SaaS - PWA mobile app.
skai-io	Skai	Artificial Intelligence (AI), E-Commerce Platforms, Machine Learning, Natural Language Processing, Predictive Analytics, Software	2006-01-01	501-1000	https://skai.io	Skai is an AI-powered platform that offers consumer and market insights, and omni-channel media activation services.
fintech-farm	Fintech Farm	Banking, Credit Cards, FinTech, Information Technology	2020-01-01	101-250	https://www.fintech-farm.com/	Fintech Farm is a financial technology (FinTech) company that creates and operates digital banks in emerging markets.
impression-ventures	Impression Ventures	Financial Services, FinTech, Incubators, Venture Capital	2013-01-01	1-10	http://impression.ventures	Impression Ventures is a venture capital firm focused on investing in FinTech and related technology companies.
walc	Walc	Advertising Platforms, Mobile, Navigation, Software, Travel	2014-03-14	1-10	http://www.walc.me/	Walc empowers exploration on foot.
flywireco	Flywire	Financial Services, FinTech, Payments, Service Industry, Software	2011-01-15	1001-5000	http://www.flywire.com	Flywire is a payments enablement and software company that simplifies complex payments for its clients and their customers.
interprice	InterPrice Technologies	Financial Services, FinTech	2020-01-01	51-100	https://interpricetech.com/	InterPrice Technologies is a financial technology company that empowers corporate Treasury teams to make financing decisions.
partyopia-com	Partyopia.com	E-Commerce, Internet, Tourism, Travel	2012-01-01	1-10	http://partyopia.com/	Partyopia is a party planner in Delhi/NCR. It is an expert and provides a lot of attractive party packages and deals to Party lovers.
crazy-peak	Crazy Peak	Information Technology	NULL	NULL	http://www.crazypeak.co/	Crazy Peak LLC is an early stage technology business investment and advisory firm.
hive-dc0c	Hive	Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Generative AI, Machine Learning, Software, Speech Recognition	2013-01-01	251-500	https://thehive.ai/	Hive provides cloud-based AI solutions for understanding, searching, and generating content
moxie-software-2	Moxie Software	Android, Consulting, Internet, iOS, Mobile Apps, Software	2004-01-01	11-50	http://www.moxiesoftware.com/	The company was created in 2004, as an out let for the founders to do custom software development.
bi-science	BIScience	Advertising, Analytics, Business Intelligence, Digital Media, Information Technology, Publishing, Social Media	2009-04-01	51-100	http://www.biscience.com	BIScience provides business intelligence solutions for the online media industry.
newwavecapital	New Wave	NULL	2017-01-01	1-10	https://www.newwavecapital.com	Intelligently invest in a diverse cryptocurrency portfolio with a fully registered Investment Adviser
dotforge	dotforge	Big Data, Health Care, Social Entrepreneurship	2012-01-01	1-10	http://dotforgeaccelerator.com	dotforge is an intensive 13 week mentor-supported accelerator programme.
fannie-mae	Fannie Mae	Credit, Financial Services, Mortgage, Real Estate	1938-01-01	5001-10000	http://www.fanniemae.com	Fannie Mae is supporting today's economic recovery and helping to build a sustainable housing finance system.
gaza-sky-geeks	Gaza Sky Geeks	Collaboration, Communities, Incubators	2012-01-01	11-50	http://www.gazaskygeeks.com/en/	Gaza Sky Geeks (GSG) is the first and only startup accelerator in Gaza.
tipalti	Tipalti	Accounting, Financial Services, FinTech, Payments, Software	2010-01-01	1001-5000	https://tipalti.com	Tipalti is a global payables automation platform that provides a cloud solution to scale and automate global payables operations.
collegiate-capital	Collegiate Capital	NULL	2016-01-01	NULL	http://collegiate.capital	Collegiate Capital is the most entrepreneur friendly venture capital firm and company builder.
west-loop-ventures	West Loop Ventures	B2B, Finance, Financial Exchanges, Financial Services, FinTech	2016-11-01	1-10	http://westloopventures.com	West Loop Ventures is a firm specializing in early round investment. The fund is closed.
venture-university	Venture University	Financial Services	2018-01-01	NULL	https://www.venture.university/	Multi-Stage Investment Fund & Trade School For Venture Capital, Private Equity & Angel Investing
proxymity	Proxymity	Finance, Financial Services, Information Services	2020-04-01	101-250	http://proxymity.io/	Proxymity is an investor communications platform that facilitates real-time connections between issuers, intermediaries, and investors.
diamond-dust	DJ Diamond Dust	Music, Performing Arts	1975-01-01	1-10	https://www.diamonddust.co.uk	We provide a Party and Wedding DJ service, as well as children’s entertainment, which includes robots.
attune-3fee	Attune	Analytics, Artificial Intelligence (AI), Real Time, SaaS	2021-01-01	1-10	https://attune.work	Attune is a software platform that provides a radically way for contact center agents to adjust their own schedules.
everfilt	Everfilt	Agriculture, Commercial, Industrial, Manufacturing	1978-01-01	11-50	https://www.everfilt.com	Everfilt provides a manufacturer of agricultural, industrial, municipal, and commercial media filters.
skydrop-3	Skydropx	Delivery, E-Commerce, Information Technology, Logistics, Productivity Tools, Software	2014-11-02	251-500	https://www.skydropx.com	Skydropx is a logistics management system designed to manage and regulate shipments.
dusty-robotics	Dusty Robotics	Construction, Real Estate, Robotics, Software	2018-04-01	51-100	http://dustyrobotics.com	Dusty Robotics develops robot-powered tools for the modern construction workforce.
skydrones	SkyDrones Tecnologia Aviônica S.A	Aerospace, Agriculture, AgTech, Drones, Manufacturing	2010-05-06	11-50	http://skydrones.com.br/	SkyDrones specializes in the development, manufacturing, and operation of image capture and inspection RPAs, as well as spraying drones.
liquidity-capital	LIQUiDITY Group	Credit, Finance, Financial Services, FinTech	2018-01-01	101-250	https://www.liquiditygroup.com	Liquidity Group deploys capital at scale faster using advanced decision science, due diligence, monitoring, and predictive technology.
aerial-58e9	Aerial	Software	2021-01-01	1-10	https://aerialops.io	Aerial is a record management system.
the-coop	The Coop	Coworking, Real Estate, Real Estate Investment	2008-01-01	11-50	http://coworkchicago.com	The Coop is a collaborative coworking community of freelancers, independent professionals.
epistemix	Epistemix	Analytics, Health Care, Software	2018-01-01	11-50	https://www.epistemix.com/	Epistemix provides analytical tools that simulate how diseases, ideas, and behavior spread through communities.
chowbus	Chowbus	Point of Sale, SaaS, Software	2015-05-20	101-250	http://www.chowbus.com	Chowbus is a leading all-in-one cloud-based point-of-sale system for restaurants
kitara-capital	Kitara Capital	Venture Capital	2008-01-01	NULL	http://www.kitaracapital.com/	Kitara Capital is a private equity and venture capital firm specializing in seed capital, growth capital, and PIPEs investments.
sbi-group	SBI Group	Asset Management, Finance, Financial Services, Insurance, InsurTech	1999-07-08	10001+	http://www.sbigroup.co.jp	SBI Holdings is a financial services company that offers banking, insurance, and asset management services.
kipp	Kipp Authorize More	Finance, FinTech, Payments, Software, Transaction Processing	2021-03-01	11-50	http://www.letskipp.com	Connecting Between Issuer Banks and Merchants to approve more transactions
moneygram-international	MoneyGram International	Financial Exchanges, Financial Services, Payments	1940-01-01	1001-5000	http://www.moneygram.com/intl/	MoneyGram is a money transfer company that delivers financial solutions to securely and quickly send or receive money.
frontier-services-group	Frontier Services Group	Logistics	1990-01-01	51-100	http://fsgroup.com	Frontier Services Group Limited (FSG) offers world-class logistics solutions across the African continent.
vamtopia-unique-concepts-limited	Vamtopia Unique Concepts Limited	Internet, Marketplace, Real Estate	2014-05-25	NULL	http://vamtopia.com.ng	Vamtopia.com.ng is an online real estate marketplace based in Nigeria. We help our clients acquire their dream properties without stress
nutr	Nutr	Consumer Electronics, E-Commerce, Food and Beverage	2021-01-01	11-50	https://thenutr.com/	Nutr is a lifestyle and wellness brand that develops a nut milk maker.
silver-spring-networks	Silver Spring Networks	Communication Hardware, Energy, Energy Efficiency, Software, Web Hosting	2002-01-01	501-1000	http://www.silverspringnet.com/	Silver Spring Networks offers Smart Energy Platform™, enabling utilities to improve energy efficiencies, enhance services, and reduce costs.
maxfield-capital	Maxfield Capital	Analytics, Angel Investment, Big Data, Financial Services, Information Technology, Venture Capital	2013-04-03	11-50	http://www.maxfield.vc/	Maxfield Capital is a venture capital firm that invests in global early stage technology companies.
outsite	Outsite	Communities, Leisure, Travel	2015-01-01	1-10	http://outsite.co/	A collection of unique work+play accommodations that cater to the growing community of entrepreneurs, business travelers.
stoiclane	StoicLane	Financial Services, Real Estate, Real Estate Investment	2021-01-01	11-50	https://www.stoiclane.com/	StoicLane is a private holding company that specializes in the fields of real estate and financial services.
allovoisins	AlloVoisins	Computer, Network Security, Rental	2013-01-01	1-10	https://www.allovoisins.com/	Rental of equipment between individuals, rental of tools and services between neighbors
imonomy-interactive	Imonomy Interactive	Advertising, Advertising Platforms, Software	2012-01-01	11-50	http://www.imonomy.com	Imonomy Interactive is an in-image advertising provider that scans text on webpages and finds relevant in-image ads to match the text.
team8-fintech	Team8 FinTech	Financial Services, FinTech	2014-01-01	51-100	https://team8.vc/team8-fintech/	Team8 FinTech partners with entrepreneurs to co-found transformative fintech companies.
nodus-technologies	Nodus Technologies	Business Process Automation (BPA), Computer, CRM, E-Commerce, Online Portals, Software	2002-12-01	101-250	http://www.nodus.com/	Nodus Technologies, Inc. is a leading provider of e-payment, e-commerce and business process automation software for Microsoft Dynamics.
industricorp	IndustriCorp.	Industrial, Machinery Manufacturing, Manufacturing	1991-01-01	1-10	https://www.industricorp.com	IndustriCorp Inc. manufactures industrial equipment, dust collectors, and explores robotics research.
ralco-nutrition	Ralco Nutrition	Animal Feed, Food Processing, Health Care, Nutrition	1971-01-01	51-100	https://www.ralconutrition.com	Ralco Nutrition provides livestock nutrition, animal health products, and crop enhancement products.
attune	Attune	Analytics, Business Intelligence, Employee Benefits, Financial Services, FinTech, Health Care, Personalization, SaaS, Wellness	2023-10-01	11-50	https://www.attune.co	Financial Health Analytics for Credit Unions
gretel-ai	Gretel	Artificial Intelligence (AI), Data Collection and Labeling, Generative AI, Information Technology, Machine Learning, Privacy, Software	2020-01-01	51-100	https://gretel.ai/	Gretel is a multimodal synthetic data platform that leverages advanced generative AI and privacy-enhancing technologies.
loop-new-media	LOOP New Media	UX Design, Web Design, Web Development	1994-01-01	101-250	https://www.agentur-loop.com/	LOOP New Media provides UX design, web design, web development, content, video production, and social media services.
toothr-new-media-gmbh	toothR new media GmbH	Consulting, Information Technology, Security	NULL	1-10	http://www.toothr-gmbh.at/	toothR new media offers wireless, android, and IT security consulting services for businesses.
severfield	Severfield	Construction	1978-01-01	1001-5000	http://www.severfield.com/	Severfield is a structural steel company.
eversfield-organic	Eversfield Organic	Agriculture, Organic, Organic Food, Retail	2002-01-01	11-50	https://eversfieldorganic.co.uk	Eversfield Organic is a producer and retailer of meat and organic vegetables.
easyllama	EasyLLama	Corporate Training, Education, Software, Training	2019-01-01	11-50	http://www.easyllama.com	EasyLLama simplifies work harassment training by offering engaging and interactive bite-sized episodes that are created for the #MeToo era.
easyllm	EasyLLM	Artificial Intelligence (AI), Generative AI, Software	2023-01-03	1-10	https://www.easyllm.tech	No code LLMOps platform for finetuning Large Language Models to build text based Generative AI and NLP solutions
zappistore	Zappi	Analytics, Artificial Intelligence (AI), Data Integration, Market Research, Software	2012-01-01	251-500	https://zappi.io	Zappi helps global brands make faster and better decisions to drive business growth.
easyloma	Easyloma	Tour Operator, Travel, Travel Agency	NULL	NULL	https://www.easyloma.fi	Easyloma is an online travel company providing holiday packages, travel guides, and booking services for flights, hotels, and buses.
easylamp	Easylamp	Consumer Electronics, Manufacturing, Supply Chain Management	NULL	11-50	https://www.easylamp.de	Easylamp is a manufacturing company that develops and supplies lamps for video projectors, rear projection televisions, and video cubes.
money360	Money360	Commercial Real Estate, Real Estate	2010-01-01	11-50	http://www.money360.com/	Money360 is a direct lender with discretionary capital that ensures certainty of execution and timely closings.
fix-trading-community	FIX Trading Community	NULL	NULL	1-10	https://www.fixtrading.org/	The FIX Trade Community is a non-profit, industry-led standards organization at the core of international commerce.
pretzel-labs	Pretzel Labs	Apps, Computer, Gaming	NULL	1-10	https://www.pretzellabs.co/	Pretzel Labs is a voice design studio that creates family-friendly games with voice tech.
kinetic-group	Kinetic Group	Energy, Renewable Energy	2004-06-04	11-50	NULL	Kinetic is the energy of motion. We help companies, big and small, accelerate by creating momentum and overcoming organizational friction.
scifivc	SciFi VC	Business Development, Financial Services, Venture Capital	2011-01-01	1-10	http://scifi.vc/	SciFi VC is a venture capital fund that invests in early-stage companies.
vestwell	Vestwell	Employee Benefits, Finance, Financial Services, FinTech, Retirement	2016-01-01	251-500	http://vestwell.com	Vestwell develops a digital savings platform to create a retirement plan for employees.
i2bf-global-ventures	I2BF Global Ventures	Business Development, Consulting, Finance, Financial Services, FinTech	2005-01-01	11-50	http://www.i2bf.com	I2BF is a venture capital firm that focuses on early stage technology companies.
crypto-fund-ag	Crypto Finance (Asset Management)	Asset Management, Cryptocurrency, Financial Services, Marketing	2017-04-01	11-50	https://www.cryptofinance.ch/asset-management/	Crypto Finance (Asset Management) offers investors direct, convenient and transparent exposure to the emerging crypto asset class.
fabric-3ad9	fabric	B2B, B2C, E-Commerce, E-Commerce Platforms, Retail Technology, SaaS, Wholesale	2016-01-01	101-250	https://fabric.inc	fabric offers a headless eCommerce platform that enables companies to grow their online presence via its API-driven modular system.
visage-payroll	Gig Wage	Employee Benefits, Financial Services, FinTech, Human Resources, Payments, SaaS, Software	2014-06-02	11-50	http://gigwage.com	Gig Wage is a fintech payroll company for gig workers and contractors.
and-ventures	AnD Ventures	Artificial Intelligence (AI), Finance, Financial Services, FinTech, Information Technology, Software, Venture Capital	2020-03-01	11-50	https://www.and-ventures.com	AnD Ventures is a venture capital firm that invests in early-stage startups in the information technology sector.
sonovate	Sonovate	B2B, Financial Services, FinTech, Information Technology, Productivity Tools, SaaS	2014-01-01	101-250	http://www.sonovate.com	Sonovate solves cash flow and admin headaches for users and suppliers of global contingent workforce solutions.
clubhouse-3520	Clubhouse	Internet	2020-01-01	11-50	https://www.clubhouse.com	Clubhouse is an audio-first social media company for casual conversations and connection-building among friends and their networks.
spothero	SpotHero	Consumer, Developer APIs, Marketplace, Mobile Apps, Parking, Transportation	2011-07-01	101-250	http://www.spothero.com	Leading & only independent consumer marketplace for parking in North America.
mystore	MyStore	E-Commerce, Internet, Marketplace, Mobile, Social Media, Video, Video Advertising	2006-01-01	1-10	https://www.mystore.com	Interactive video tool and shoppable video marketplace.
s-p-global	S&P Global	Analytics, Business Intelligence, Credit, Enterprise Software, Finance, Financial Services, Information Services, Market Research	1860-01-01	10001+	https://www.spglobal.com	S&P Global is a market intelligence company that provides financial information and data analytics services.
univision-communications	Univision Communications	Broadcasting, Communities, Digital Media, Media and Entertainment, News, Publishing, Social News, TV Production	1962-09-29	1001-5000	http://univision.com	Univision Communications is a media company that provides media-related services.
twim-advisors-2	Twim Advisors	NULL	2010-09-23	1-10	http://www.twim.es/	Business angel and entrepreneur vehicle
artsetters	ArtSetters	Retail, Retail Technology, Wholesale	2013-07-05	1-10	http://www.ArtSetters.com	Workflow solution for vendors and retailers.
avenews-gt	Avenews	Agriculture, Banking, Blockchain, Financial Services, FinTech, Information Technology, Insurance, InsurTech, Trading Platform	2017-04-15	11-50	https://www.avenews-gt.com/	Fintech for Agriculture
indigo-strategic-partners	Indigo Global	NULL	2011-01-01	NULL	https://www.indigo.global/	Investment advisory firm
cifas	Cifas	Education, Fraud Detection, Information Technology, Training	1988-01-01	51-100	http://www.cifas.org.uk	Cifas is financial service company that provides fraud prevention.
oddup	Oddup	Analytics, Data Visualization, Finance, Financial Services	2015-01-01	11-50	http://www.oddup.com	Oddup is a data-driven research platform that provides analytical information on startups.
tbricks	Tbricks	Finance, Financial Services	2006-01-01	251-500	http://www.tbricks.com	Tbricks mission is to provide professionals with the most user-friendly and efficient tools for executing automated trading strategies on
fintech71-e651	Fintech71	NULL	2017-03-03	1-10	http://www.fintech71.com/	Fintech accelerator that connects startups to large financial services companies.
mabaya	Mabaya	Big Data, E-Commerce, Marketing Automation, Retail, SaaS, Software	2013-04-01	11-50	http://www.mabaya.com	Mabaya is a SaaS company that develops technologies that enables online retailers to monetize their traffic.
fundguard	FundGuard	Artificial Intelligence (AI), Finance, Financial Services, FinTech	2018-01-01	51-100	https://www.fundguard.com	FundGuard is an artificial intelligence-powered and cloud native investment accounting operating system.
kahoot-	Kahoot!	Gamification, Gaming, Training	2012-12-14	501-1000	https://kahoot.com	Kahoot! is a game-based learning platform that makes it easy to create, share, and play fun learning games and trivia quizzes.
upstart	Upstart	Artificial Intelligence (AI), Automotive, Consumer Lending, Credit, Financial Services, FinTech, Lending, Machine Learning, Personal Finance	2012-04-01	1001-5000	https://upstart.com/about	Upstart (NASDAQ: UPST) is a leading AI lending marketplace partnering with banks and credit unions to expand access to affordable credit.
gretel-3447	Gretel	Finance, Financial Services, FinTech, InsurTech	2019-03-08	1-10	https://www.gretel.co.uk	Gretel is a fintech company that helps users find lost pensions, bank accounts, investments, and life insurance services.
everfield	Everfield	Business Development, Software	2022-01-01	251-500	https://everfield.software/	Everfield is an operator of vertical and specialist software companies intended to buy, build and grow software.
robert-charles-lesser-co	RCLCO Real Estate Consulting	Consulting, Property Management, Real Estate	1967-01-01	51-100	https://www.rclco.com	RCLCO Real Estate Consulting is a consultant company that solves complex issues with expert analysis.
zapping	Zapping	Internet, Telecommunications, TV, Video Streaming	2010-01-01	11-50	https://zapping.com	Zapping is an online streaming service that provides TV channels over the internet with various subscription plans.
zappix	Zappix	Customer Service, Information Technology, Software	2011-01-01	11-50	http://www.zappix.com	Zappix provides a visual experience for customers, increasing self-service rates, and reducing costs, while improving customer satisfaction.
spark-growth-ventures	Spark Growth Ventures	Venture Capital	2020-08-01	1-10	https://sparkgv.com	Mid/Late Stage Tech VC, Micro PE
regtech-lab	RegTech Lab	Financial Services, FinTech, Information Technology, iOS, Software	2016-01-01	NULL	http://www.regtechlab.io	fosters regtech and financial technology innovation
avant-credit	Avant	Consumer Lending, Finance, Financial Services, FinTech, Lending	2012-11-01	501-1000	https://www.avant.com	Avant is an online lending platform that offers alternatives to its clients with safe financial products.
center-for-financial-professionals	Center for Financial Professionals	Financial Services	2011-01-01	NULL	https://www.cefpro.com/	The Center for Financial Professionals is the focal point for financial professionals globally.
edge-gaming	Ludeo	Gaming, Video Games	2021-01-01	11-50	https://www.ludeo.com/	Ludeo is revolutionizing the video game industry by building the first playable social media platform for gamers
facebook	Meta	Artificial Intelligence (AI), Augmented Reality, Metaverse, Social Media, Social Network, Virtual Reality	2004-02-04	10001+	https://www.meta.com	Meta is a social technology company that enables people to connect, find communities, and grow businesses.
clearcover	Clearcover	Auto Insurance, Financial Services, Insurance, InsurTech	2016-01-01	251-500	https://clearcover.com/	Clearcover is a digital car insurance provider offering coverage for less money.
wiacts	NoPassword	Cyber Security, Enterprise Applications, Enterprise Software, Identity Management, Information Technology	2014-10-29	11-50	https://www.lastpass.com/	NoPassword is a software firm that develops access management platforms designed to improve secure authentication.
bebo-b238	Bebo	Internet, Social Network	2005-01-01	11-50	https://www.bebo.com/	Bebo is a social networking platform. The company enables members to connect friends, as well as share photos and discover new interests.
plexuss-com	PLEXUSS	EdTech, Education, Social Entrepreneurship, Social Network	2014-01-01	11-50	https://plexuss.com	Plexuss is radically changing the way universities discover and recruit students.
leumitech	LeumiTech	Finance, Financial Services	2014-01-01	11-50	http://www.leumitech.com/	LeumiTech is the financial home of Israeli high-tech, in Israel and abroad.
zhongku-technology-zokoo	Zhongku Technology (Zokoo)	Automotive, E-Commerce, Information Technology, Internet, Logistics	2016-01-01	1-10	http://www.izokoo.cn/	Zhongku Technology is an Internet warehousing department store
desi-70a7	Yelo	Marketplace, Social Network, Software	2022-08-01	1-10	https://www.rideyelo.com/	The first social ride network.
becomeco	Become	Financial Services, FinTech, Marketplace	2016-10-01	11-50	https://www.become.co	Become is an end-to-end financial optimization platform for SMBs
the-chicago-cubs	The Chicago Cubs	NULL	1870-01-01	1001-5000	http://www.cubs.com	The Chicago Cubs an American professional baseball team based in Chicago, Illinois. T
puresec	PureSec	Cloud Security, Cyber Security, Enterprise Software, Security, Software	2016-10-01	11-50	https://www.puresec.io/	PureSec develops a cloud-based cyber security platform designed to provide network protection for serverless architectures.
motivate-venture-capital	Motivate Venture Capital	Financial Services, Manufacturing, SaaS	2019-05-01	1-10	https://motivate.vc/	Motivate Venture Capital is a venture capital firm that invests in Pre-seed and Seed-stage companies across the US and Canada.
streamline-genomics	Streamline Genomics	Analytics, Biotechnology, Clinical Trials, Health Care	2017-01-01	1-10	http://www.streamlinegenomics.com	Streamline Genomics is a platform to help clinicians and researchers benefit from genomic sequencing.
o-leary-funds	O'Leary Funds	Financial Services	2008-01-01	11-50	http://www.olearyfunds.com/	O’Leary Funds is a Canadian investment fund manager headquartered in Montreal, and one of the country’s fastest growing destinations.
curve	Curve	Apps, Banking, Financial Services, FinTech, Payments	2015-04-02	101-250	https://www.curve.com	Curve Pay actively works to save you money and enhance every payment you make through its cutting-edge wallet technology.
equityx-israel	EquityX	Crowdsourcing, Cryptocurrency, Financial Services, FinTech, Service Industry	2016-01-01	1-10	http://www.equityx.io	EquityX is an online venture funding platform combining Crowdsourcing, Network Effect, and Blockchain technology.
lionbird	LionBird	Enterprise Software, Financial Services, FinTech, Health Care, Venture Capital	2012-01-01	1-10	http://lionbird.com	LionBird invests in early-stage technology startups that improves offline processes in healthcare, commerce, and enterprise.
memobank	Memo Bank	Banking, Finance, Financial Services	2017-04-01	51-100	https://memo.bank	Memo Bank is a new bank for small & medium-sized businesses.
maximon	Maximon	Health Care, Venture Capital	2021-01-01	11-50	https://www.maximon.com/	Maximon empowers entrepreneurs to build impactful, science-based and scalable companies providing healthy aging and rejuvenation solutions.
tipranks	TipRanks	Analytics, Finance, Financial Services, FinTech, SEO, Software	2012-03-01	101-250	http://www.tipranks.com	TipRanks is a financial accountability platform that ranks financial advice to assess its accuracy.
panorama-point-partners	Panorama Point Partners	Finance, Financial Services, Venture Capital	2012-10-01	1-10	http://www.panoramapoint.com/	Panorama Point Partners is a growth private equity firm targeting diversified growth-stage companies.
captiv8-2	Captiv8	Social Media, Software	2015-01-01	251-500	http://captiv8.io/	Captiv8 is a full-service, end-to-end influencer marketing solution.
net1	NET1 UEPS Technologies Inc.	Financial Services	1989-01-01	1001-5000	http://www.net1.com	Net1 is the leading provider of secure and affordable transaction channels between formal business and un-banked and under-banked
riskalyze	Nitrogen	Advice, Finance, FinTech, Risk Management, Software	2011-03-01	101-250	https://nitrogenwealth.com/	Nitrogen helps investment advisors to capture a quantitative measurement of client risk tolerance to find investments that fit them.
it-netlogistics	IT-Netlogistics	Enterprise Software, Homeland Security, IT Management, Wireless	2011-01-01	11-50	http://www.it-netlogistics.com	IT-NetLogistics is a provider of IT support services and the installation of structured cabling to a complete rollout of a new technology.
coffee-ventures	Coffee Ventures	Artificial Intelligence (AI), Finance, Financial Services, FinTech, Venture Capital	2016-01-01	1-10	http://coffeevc.com	Micro-VC supporting startups addressing SEA markets - Sectors include health & wellness, education, finance, enterprise, AI and marketplace.
lisbon-challenge	Lisbon Challenge	Finance	2013-01-01	1-10	http://www.lisbon-challenge.com	The Lisbon Challenge is an ambitious 4-month acceleration program aimed at eager startups in the growth phase.
lodo-therapeutics	Lodo Therapeutics	Biotechnology, Health Care, Pharmaceutical	2016-01-01	1-10	http://lodotherapeutics.com	Lodo Therapeutics is a drug discovery and development company.
beebillion	BeeBillion	Consumer, E-Commerce, Internet, Retail Technology, Social	2010-04-12	1-10	http://www.beebillion.com	BeeBillion develops a social e-commerce platform for local retailers, consumers, and influencers.
denim-social	Denim Social	Advertising, Marketing Automation, Social Media, Software	2020-04-07	11-50	https://denimsocial.com	Denim is a platform that empowers marketers in regulated industries to manage organic social media content & paid social media advertising.
bump-technologies	Bump Technologies	Apps, Mobile, Wireless	2008-10-13	11-50	http://www.bu.mp	Bump Technologies builds mobile apps and APIs that allow two smartphones to identify one another and connect by being bumped together.
meitav-investment-house	Meitav Investment House	Banking, Consulting, Financial Services	1979-01-01	501-1000	https://en.meitavdash.co.il/	Meitav Dash is an investment house in Israel that manages more than NIS 133 billion for private, business, and institutional clients.
rentigo-inc	Rentigo Inc	Enterprise Software, Property Management, Service Industry	2014-01-01	11-50	https://www.rentigo.com/	Rentigo disrupts proprty management through a simplified, digitized processing, maintenance and reporting solution.
bluevine	Bluevine	Banking, Finance, Financial Services, FinTech, Small and Medium Businesses	2013-07-01	501-1000	http://www.bluevine.com	Bluevine empowers small businesses with innovative banking products designed for them.
zokoo-technology	Zokoo Technology	Mobile, Mobile Apps, Software	2018-01-03	11-50	https://zokootech.com	Premier mobile app development and UX/UI agency
sbi-royal-securities	SBI Royal Securities	Finance, Financial Services, Security	2010-02-01	1-10	http://www.sbiroyal.com/home	SBI Royal Securities is a Japanese full-service general brokerage firm that obtains a full-licence for securities business.
unito	Unito	Collaboration, Internet, Productivity Tools, Project Management, Software	2015-01-01	51-100	http://unito.io	Unito automatically synchronizes your projects, tasks and conversations between different work management tools.
surf-broadband-solutions	Surf Broadband Solutions	Internet, Telecommunications	1999-01-01	101-250	https://www.surfbroadband.com/	Surf Broadband Solutions is the premier broadband provider.
venturebeat	VentureBeat	Internet, Mobile, News, Social Media	2006-09-01	11-50	https://venturebeat.com	VentureBeat is an online technology news platform that is engaged in technology publication and events business.
eltropy-inc	Eltropy	Financial Services, SaaS, Software	2013-05-01	101-250	http://www.eltropy.com	Digital communications platform that increases engagement and revenue for financial service institutions
edo-interactive	Edo Interactive	Advertising, Marketing, Mobile, Payments	2007-01-01	51-100	http://www.edointeractive.com	Edo Interactive provides personalized offers and makes them automatically available through credit or debit cards.
petra-pharma-corporation	Petra Pharma	Biotechnology, Health Care, Pharmaceutical, Therapeutics	2016-01-01	11-50	http://petrapharmacorp.com/	Petra Pharma is a clinical-stage pharmaceutical company developing a diverse portfolio of novel therapies.
spott-4f88	Spott	Financial Services	2020-01-01	11-50	https://spottme.com/	Spott offers smart financial products that enable e-commerce sellers to fast track growth, manage risk, and achieve financial stability.
trustology	Trustology	Blockchain, Cryptocurrency, FinTech, Information Technology, Virtual Currency	2017-11-07	1-10	https://www.trustology.io	Trustology is building a custody platform to safeguard your crypto assets.
credit-key	Credit Key	E-Commerce, Financial Services, Payments	2015-01-01	51-100	http://www.creditkey.com	Credit Key is a patented pay-over-time financing solution for e-commerce merchants.
o-leary-fine-wines	O'Leary Fine Wines	Food and Beverage, Wine And Spirits	NULL	NULL	http://www.olearyfinewines.com	O'Leary Fine Wines is a Wine making private firm and producing top rated wines and other drinks too.
wfs-orbital	WFS Orbital	Aerospace, Training	2002-01-01	1001-5000	http://grupoorbital.com.br/	WFS Orbital is a provider of airport service solutions with a focus on customer service and operational safety.
compass-pathways	COMPASS Pathways	Biotechnology, Health Care, Life Science, Mental Health, Personal Health, Wellness	2016-06-13	101-250	https://compasspathways.com	Compass Pathways is a mental health care company that focuses on developing therapies for treatment-resistant depression.
the-wfs-group	The WFS Group	NULL	NULL	NULL	NULL	The WFS Group focuses on scaling integrity-based sales operations.
carbon-compass	Carbon Compass	Environmental Consulting, Renewable Energy	2022-01-01	1-10	https://carboncompass.io	Carbon Compass is a company that is developing renewable energy pathways to decarbonize the mining industry.
aerovent-f175	Aerovent	Industrial, Manufacturing, Product Design	1996-01-01	11-50	https://www.aerovent.com.br	Aerovent designs, manufactures, and installs exhaust and ventilation systems for kitchens.
prosperoware	Prosperoware	Insurance, Legal, Pharmaceutical, Professional Services, Software, Web Development	2009-01-01	51-100	https://www.prosperoware.com/	Prosperoware offers software solutions that tackle challenges of project-based organizations relates to provisioning & governance.
embiggengroup	Embiggen Group	Consulting, Innovation Management, Venture Capital	2019-01-01	11-50	https://embiggengroup.com/	We help established companies achieve innovation-led growth through corporate venture building and venture investing.
duda	Duda	Developer Tools, Internet, Mobile, Software, Web Design, Web Development	2009-04-23	251-500	https://www.duda.co	Duda is a responsive website builder for digital marketing agencies, hosting companies, and online directories.
curv-5d20	Curv	Blockchain, Cloud Computing, Cryptocurrency, Cyber Security, FinTech, Software	2018-01-01	11-50	https://www.curv.co	Curv is a developer of digital asset security infrastructure helping crypto-native and financial institutions to create digital wallets.
